Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
Saudi Arabia,Middle East,2014,8.3,9.6,89.12,0,98,98,28.3,98,98,0.13,20328,30.92,7.7,7.5,9.5,0,1,74.5
Singapore,Asia,2014,2.2,2.7,52.393,1.84,96,90,23.6,96,96,0.08,54683,5.47,2.2,2.2,11.4,0,1,82.5
Costa Rica,Central America and Caribbean,2014,7.9,9.3,87.237,3.12,91,90,27.2,91,91,0.19,11355,4.8,1.7,1.7,8.6,0,1,79.4
Austria,European Union,2014,3.1,3.8,65.815,12.4,98,87,25.5,98,98,0.08,44245,8.55,1.8,2,12.1,1,0,81.5
Argentina,South America,2014,10.8,12.1,118.5375,7.93,94,96,27.5,92,94,0.13,13568,42.67,1,0.9,9.8,0,1,75.9
France,European Union,2014,3.1,4.1,74.8905,12.07,83,77,25,98,98,0.1,36379,66.31,0.6,0.6,11.4,1,0,82.7
Switzerland,Rest of Europe,2014,3.8,4.3,49.998,9.62,88,87,25.1,96,96,0.05,84348,8.19,0.4,0.3,13.4,1,0,83.2
Zambia,Africa,2014,46,68.3,309.5495,4.22,86,33,22.4,78,86,4.77,1341,15.4,6.3,6.2,6.9,0,1,60.8
Dominican Republic,Central America and Caribbean,2014,28.8,35,163.0145,5.23,89,83,26.3,90,91,0.4,6547,10.17,3.3,3.2,7.8,0,1,73
Papua New Guinea,Oceania,2014,41.2,52.4,227.218,1.35,67,65,25.4,43,73,0.4,2565,7.95,1.3,1.3,4.3,0,1,63.2
Chile,South America,2014,6.9,8.1,90.433,7.92,95,88,27.8,95,95,0.19,13367,17.76,0.8,0.8,10.1,0,1,79.5
Honduras,Central America and Caribbean,2014,17.1,20,147.875,2.42,97,83,26.5,99,97,0.06,2256,8.96,2.1,2.1,6.2,0,1,74.3
"Bahamas, The",Central America and Caribbean,2014,12.2,14.3,160.15,9.22,96,83,27.8,96,96,0.34,31689,0.37,2.5,2.5,11.1,0,1,72.8
Afghanistan,Asia,2014,55.2,73.6,231.978,0.01,62,44,23.2,62,62,0.03,565,33.37,17.5,17.5,3.5,0,1,63
Tanzania,Africa,2014,41.9,59.9,255.4665,7.43,97,64,23.1,97,97,2.12,920,49.96,6.8,6.6,5.6,0,1,62.3
Solomon Islands,Oceania,2014,19.9,23.4,151.628,0.95,88,65,26.1,78,88,0.17,2195,0.59,1.1,1.2,5.3,0,1,71.9
Germany,European Union,2014,3.3,4,70.358,11.07,88,93,26.5,93,95,0.03,40851,80.98,1.1,1.1,14,1,0,81.1
Tonga,Oceania,2014,10.8,12.5,135.663,0.28,98,92,32.1,98,80,0.17,4276,0.1,0.1,0.1,11.1,0,1,70.4
Montenegro,Rest of Europe,2014,3.7,4.4,102.857,8.55,87,95,26.4,91,91,0.03,6307,0.62,1.8,1.9,11.3,0,1,76.4
Jamaica,Central America and Caribbean,2014,13.8,16,133.3495,3.2,92,72,27.5,93,92,0.5,4890,2.88,1.8,1.7,9.6,0,1,74
Israel,Middle East,2014,3.2,4,56.744,2.71,97,96,27.2,95,95,0.08,35711,8.22,1.2,1.1,12.9,1,0,82.2
Uruguay,South America,2014,8,9.3,106.8025,6.15,95,93,27.1,95,95,0.24,15609,3.4,1.5,1.4,8.6,0,1,77.2
Turkiye,Middle East,2014,11.9,13.8,107.701,1.39,96,65,27.7,96,96,0.08,10550,77.23,4.9,4.7,7.6,0,1,76.2
Armenia,Rest of Europe,2014,13.3,14.8,126.937,4.22,93,97,26.2,95,93,0.08,3511,2.91,2.1,2.1,11.5,0,1,74.3
Libya,Africa,2014,11.8,13.8,135.968,0.01,94,92,27.9,94,94,0.08,7723,6.36,5.7,5.5,7.3,0,1,72
Sao Tome and Principe,Central America and Caribbean,2014,20.1,25.3,192.893,5.63,95,71,24.7,95,95,0.18,1554,0.2,5.6,5.4,5.3,0,1,69.1
Mozambique,Africa,2014,63,88.4,344.63,1.08,79,64,22.6,88,79,3.5,569,26.29,3.6,3.5,3.4,0,1,56.1
Hungary,European Union,2014,4.5,5.4,131.9085,10.92,88,99,27.1,99,99,0.08,12237,9.87,1.7,1.6,11.8,1,0,75.8
Denmark,European Union,2014,3.5,4.1,69.2705,9.55,88,84,25.3,94,94,0.04,52405,5.64,1.1,0.9,12.8,1,0,80.7
"Gambia, The",Africa,2014,40.9,62.4,264.471,2.68,96,64,23.8,97,96,1.04,654,2.02,7.5,7.3,3.3,0,1,60.7
Burundi,Africa,2014,48.2,71.3,298.257,3.95,95,60,21.6,95,95,0.31,328,9.84,7.4,7.3,2.8,0,1,59.7
Turkmenistan,Asia,2014,36.3,42,191.3055,3.24,97,99,26.3,98,98,0.08,6149,5.47,3.3,3.3,9.8,0,1,67.6
Greece,European Union,2014,3.7,4.3,71.3785,7.06,96,83,27.1,99,99,0.07,18000,10.89,0.8,0.7,10.5,1,0,81.4
Mauritania,Africa,2014,56.2,85.1,205.0555,0,84,64,24.8,81,84,0.14,1489,3.93,8,7.7,4.3,0,1,63.7
Moldova,Rest of Europe,2014,13.7,16,172.978,7.4,92,92,26.9,92,90,0.36,2720,2.86,2.7,2.8,11.6,0,1,71.3
Belgium,European Union,2014,3.3,4.1,72.379,10.57,98,85,26.1,99,99,0.08,40421,11.21,1,1,11.5,1,0,81.3
Serbia,Rest of Europe,2014,5.7,6.6,116.691,7.19,92,91,26,93,93,0.02,5463,7.13,2.1,2.1,10.7,0,1,75.3
Lebanon,Middle East,2014,7.4,8.6,61.5415,1.18,81,63,27.5,81,81,0.04,7938,6.26,4.8,4.9,8.4,0,1,78.7
Brazil,South America,2014,14.6,16.3,146.3165,6.91,96,89,26.3,96,93,0.24,9215,202.76,2.7,2.7,7.4,0,1,74.7
Chad,Africa,2014,77.3,132.3,365.883,0.68,37,64,21.8,44,37,0.42,780,13.66,8.7,8.5,2.2,0,1,52.8
Namibia,Africa,2014,34,47.9,328.32,2.59,88,64,24.1,88,88,4.5,4782,2.27,8.6,8.5,6.7,0,1,61.4
Italy,European Union,2014,3,3.6,51.776,7.56,95,83,25.6,95,95,0.07,29980,60.79,0.6,0.6,10.1,1,0,83.1
Cameroon,Africa,2014,59.5,92.4,345.615,4.7,87,64,24.2,84,87,1.24,1344,22.68,5.7,5.7,6,0,1,57.1
Colombia,South America,2014,13.8,16,141.448,4.22,90,88,26,90,90,0.19,6069,46.97,2.1,1.9,8,0,1,76.3
"Yemen, Rep.",Middle East,2014,45.4,58.7,223.9525,0.03,73,95,23.6,67,73,0.03,2283,25.82,13.7,13.5,3,0,1,66.1
St. Lucia,Central America and Caribbean,2014,19,21.4,138.0705,9.18,99,83,29.6,99,99,0.4,10280,0.18,4.3,4.3,8.7,0,1,75.4
Comoros,Africa,2014,55.8,74.7,229.794,0.13,88,64,24.2,87,87,0.01,1258,0.76,6.8,6.6,4.8,0,1,63.2
Czechia,European Union,2014,2.5,3.1,83.987,12.75,99,96,27,99,97,0.08,16951,10.53,1.8,1.9,12.8,1,0,78.8
St. Vincent and the Grenadines,Central America and Caribbean,2014,15.7,17.4,155.902,7.12,98,83,27,97,98,0.4,7029,0.11,3.5,3.4,8.6,0,1,72
Myanmar,Asia,2014,42.3,54.1,197.7265,1.36,88,82,22.5,88,88,0.29,1168,52.28,12.9,13.1,4.8,0,1,65.4
Portugal,European Union,2014,3,3.6,76.9805,10.2,98,96,25.7,98,98,0.13,18833,10.4,0.7,0.5,8.9,1,0,81.1
Suriname,South America,2014,18.6,20.9,171.5365,5.39,85,15,26.4,76,85,0.51,9593,0.55,3.5,3.5,8.2,0,1,71.1
Paraguay,South America,2014,19.6,23,146.1335,5.39,87,76,26.5,93,87,0.14,5329,6.6,2,1.9,8.2,0,1,73.5
Kazakhstan,Asia,2014,11.6,13,193.594,3.64,95,99,26.3,95,95,0.14,10539,17.29,2.4,2.5,11.7,0,1,71.4
"Congo, Rep.",Africa,2014,38.7,54.4,269.618,1.9,90,64,23.1,90,90,2.06,2603,4.74,7.6,7.3,6.3,0,1,62.6
India,Asia,2014,36.9,46.2,180.388,3,79,60,21.7,84,85,0.07,1503,1295.6,26.8,27.4,6.1,0,1,68.3
Slovak Republic,European Union,2014,5.2,6.4,108.859,10.26,97,97,26.3,97,97,0.01,15547,5.42,1.2,1.2,12.3,1,0,76.8
Eswatini,Africa,2014,50.1,62.4,443.15,7.28,98,89,26.7,98,98,15.74,3630,1.1,4.3,4.3,6.5,0,1,53.6
Kuwait,Middle East,2014,7.7,8.9,59.3025,0,96,86,29.4,94,95,0.13,30857,3.69,3.4,3.4,6.9,0,1,75
Romania,European Union,2014,8.3,9.9,130.962,9.48,94,84,26.6,94,94,0.04,8671,19.91,2.6,2.8,10.9,1,0,74.9
Haiti,Central America and Caribbean,2014,54.1,71.9,246.6045,2.69,48,83,25.1,63,48,0.71,1371,10.55,3.9,3.9,5.1,0,1,62.1
Qatar,Middle East,2014,7,8.1,57.076,1.01,89,95,29,99,89,0.06,62785,2.46,5.2,4.8,9.8,0,1,79.6
Togo,Africa,2014,52.2,78.3,275.155,1.25,87,64,23.4,82,87,0.72,554,7.14,6.6,6.4,4.7,0,1,59.6
Lesotho,Africa,2014,71.9,94.2,518.279,2.75,93,82,24.9,88,93,10.88,1120,2.04,5.8,5.6,6.1,0,1,49.9
Iceland,Rest of Europe,2014,1.9,2.4,55.2385,7.01,88,93,26.2,90,90,0.05,51233,0.33,1,0.9,12.2,1,0,82.9
Cabo Verde,Africa,2014,17.9,21,127.3355,4.31,97,79,24.4,95,95,0.26,3050,0.52,6.8,6.7,5.8,0,1,71.9
Guatemala,Central America and Caribbean,2014,24.6,29.5,165.9155,1.69,73,83,26.4,55,73,0.03,3903,15.31,1.2,1.2,6.4,0,1,72.9
Gabon,Africa,2014,37.2,52.8,244.635,8.21,70,64,25.1,68,70,1.24,7350,1.88,6.1,6,8.1,0,1,64.3
Belarus,Rest of Europe,2014,3.3,4.3,175.6015,11.29,97,98,26.5,97,97,0.23,6213,9.45,1.9,2,12.1,0,1,73
Zimbabwe,Africa,2014,42.9,62.7,386.5745,4.22,91,64,23.8,92,91,4.29,1444,13.59,5.9,5.7,8.2,0,1,58.4
Thailand,Asia,2014,9.7,11.3,150.71,6.91,99,94,24.2,99,99,0.17,5685,68.44,7.8,7.8,7.6,0,1,75.7
Philippines,Asia,2014,23.7,30.1,201.364,4.61,67,54,23,82,67,0.09,2867,100.51,1,9.7,9.2,0,1,70.5
Tunisia,Africa,2014,14.9,17.3,92.8345,1.48,98,95,26.2,98,98,0.04,4098,11.06,6.5,6.4,6.9,0,1,75.7
Eritrea,Africa,2014,34.9,47.9,261.8635,1.03,94,88,20.6,94,94,0.13,828,3.41,8.5,8.3,3.9,0,1,64.2
China,Asia,2014,9,11.6,84.358,5.65,99,99,23.6,99,99,0.1,7533,1371.86,3.7,3,7.6,0,1,75.6
Burkina Faso,Africa,2014,61.2,104.5,262.583,6.93,91,17,22,91,91,0.2,647,17.59,8.2,7.7,1.4,0,1,59.5
Pakistan,Asia,2014,63.8,78.3,161.1745,0.04,72,48,23.8,69,72,0.13,1323,195.31,19.4,19.8,5.1,0,1,66.4
"Iran, Islamic Rep.",Middle East,2014,13.8,16.1,83.49,0.01,99,65,26,99,99,0.04,5346,77.47,8.3,8.4,9.8,0,1,75.5
Canada,North America,2014,4.7,5.4,66.418,8.1,55,86,26.9,91,91,0.1,43635,35.44,0.5,0.5,13,1,0,81.8
United Arab Emirates,Middle East,2014,6.7,7.8,69.616,2,99,99,28.3,99,99,0.13,36996,9.21,5.2,5,10.5,0,1,77.1
Mauritius,Africa,2014,12.9,14.8,145.373,3.06,97,85,25.2,98,97,0.76,8955,1.26,7,6.9,9.1,0,1,74.2
Morocco,Africa,2014,21.3,24.9,72.144,0.41,99,54,25.8,99,99,0.04,2789,34.19,6.4,6.2,5,0,1,75.5
South Africa,Africa,2014,29.4,37.6,367.7435,7.21,85,55,27.2,85,77,7.47,6274,54.54,4.9,5.9,10,0,1,62
Maldives,Asia,2014,9.1,10.5,70.354,1.3,99,97,25.2,99,99,0.17,9182,0.44,13.6,13.7,6.2,0,1,77.4
Central African Republic,Africa,2014,90.5,128.2,425.1035,1.88,47,64,22.7,50,47,1.33,364,4.46,8.4,8.3,4.1,0,1,50.1
Sierra Leone,Africa,2014,95.6,139.2,401.9615,3.04,83,60,22.7,83,83,0.92,757,7.02,7.5,7.4,3.3,0,1,52.4
Guyana,South America,2014,28.1,34.1,210.868,5.84,98,91,26.2,97,98,0.59,5568,0.76,5.5,5.3,8.4,0,1,69
Nepal,Asia,2014,30.5,37.4,158.944,0.24,92,65,22.2,92,92,0.17,871,26.91,15.9,16.3,4.5,0,1,69.2
Antigua and Barbuda,Central America and Caribbean,2014,6.8,8.1,131.452,9.66,99,99,26.5,96,99,0.2,13909,0.09,3.3,3.3,9.2,0,1,76.3
Finland,European Union,2014,2.1,2.6,72.193,8.76,88,92,25.9,98,98,0.08,42711,5.46,0.9,0.8,12.4,1,0,81.2
Senegal,Africa,2014,36.2,52.3,193.5185,0.19,89,64,22.9,85,89,0.1,1179,14.17,9.7,9.5,2.8,0,1,66.4
Barbados,Central America and Caribbean,2014,13.3,14.3,100.3405,9.27,94,91,27.6,95,94,0.29,16188,0.28,3.8,3.7,10.5,0,1,78.7
Luxembourg,European Union,2014,2.3,2.8,58.7975,11.42,94,86,26.2,99,99,0.1,105584,0.56,1,0.9,12,1,0,82.2
Nicaragua,Central America and Caribbean,2014,17.3,20.2,150.6365,3.54,98,83,27.1,99,98,0.11,1982,6.14,1.8,1.7,6.5,0,1,73.4
Cyprus,European Union,2014,2.4,2.9,52.635,9.63,96,88,26.8,99,99,0.06,22514,1.15,0.9,1,11.9,1,0,80.2
Cambodia,Asia,2014,28.7,33.4,179.3025,3.07,88,62,22,92,88,0.11,1105,15.27,1.9,11,4.7,0,1,68.3
Ukraine,Rest of Europe,2014,8.4,9.8,203.08,7.58,22,57,26.5,45,23,0.24,2346,45.27,2.3,2.4,11.3,0,1,71.2
Mali,Africa,2014,68.7,112.4,272.427,0.61,73,64,22.9,62,73,0.42,729,16.93,7.9,7.7,2.3,0,1,57
Niger,Africa,2014,53.4,98,253.126,0.12,68,64,21.7,79,68,0.06,482,19.24,9.8,9.6,1.7,0,1,60.1
Norway,Rest of Europe,2014,2.3,2.8,56.476,6.06,88,92,26.6,93,93,0.04,73650,5.14,0.8,0.7,12.5,1,0,82.1
Nigeria,Africa,2014,80.1,127.9,360.3385,4.45,49,64,23.2,40,49,0.58,2688,176.4,1.1,9.9,5.9,0,1,52.7
Bangladesh,Asia,2014,32.5,40.1,132.246,0.01,97,89,21.5,97,97,0.01,1185,154.52,18.1,18.6,5.2,0,1,71.2
Mongolia,Asia,2014,17.4,20.4,215.2245,9.88,99,98,26,99,99,0.02,3860,2.94,2.2,2.3,10.1,0,1,68.9
Kyrgyz Republic,Asia,2014,20.9,23.5,171.816,6.18,96,65,26.4,95,96,0.13,1102,5.84,3.3,3.4,10.8,0,1,70.4
North Macedonia,Rest of Europe,2014,9.9,11.2,98.63,3.56,97,97,26.6,96,95,0.08,4687,2.07,2.2,2.2,9.5,0,1,75.5
Croatia,European Union,2014,4.3,5,92.863,9.5,95,97,27.1,95,95,0.02,11544,4.24,1.5,1.5,11.1,1,0,77.5
Estonia,European Union,2014,2.6,3.3,123.2,17.29,93,93,26.3,93,93,0.08,17097,1.31,1.9,1.9,12.6,1,0,77
Malawi,Africa,2014,39.2,57.6,305.0855,2.01,91,64,22.8,87,91,2.95,381,16.29,6.5,6.3,4.4,0,1,61
Brunei Darussalam,Asia,2014,8.6,10.4,89.377,0.67,99,96,26.9,99,99,0.1,31679,0.41,5.7,5.2,9,0,1,75.2
Albania,Rest of Europe,2014,8.8,9.9,76.724,4.1,98,98,26.5,98,98,0.03,3856,2.89,1.2,1.3,9.7,0,1,77.8
Lao PDR,Asia,2014,43.8,56.3,199.529,6.74,88,65,22.7,88,88,0.16,2025,6.64,8.9,9,5,0,1,66.1
Belize,Central America and Caribbean,2014,13.9,16.1,176.8185,6.73,95,92,28.8,95,95,0.39,4770,0.35,3.4,3.4,10.5,0,1,73.8
Russian Federation,Rest of Europe,2014,7.2,8.9,220.931,8.86,97,97,26.2,97,97,0.08,9521,143.82,2.3,2.3,11.9,0,1,70.7
Botswana,Africa,2014,40.1,50.2,269.3405,6.04,95,85,24.3,96,95,5.9,6896,2.09,6.7,6.4,9.2,0,1,66.3
United Kingdom,Rest of Europe,2014,3.9,4.5,68.7755,9.45,88,86,27.1,95,95,0.08,44596,64.6,0.8,0.5,12.7,1,0,81.3
United States,North America,2014,5.9,6.9,105.6355,8.78,92,86,28.8,93,95,0.12,55675,318.39,0.8,0.6,13.3,1,0,78.8
Samoa,Oceania,2014,16.1,18.7,114.527,2.05,56,68,32,76,63,0.17,3932,0.19,0.2,0.1,10.3,0,1,72.5
Benin,Africa,2014,64.4,99.8,245.6915,1.53,78,83,23.4,71,78,0.39,1088,10.29,7.1,6.9,3.3,0,1,60.3
Ethiopia,Africa,2014,45.2,65.9,229.3955,0.65,77,64,20.5,68,77,0.22,596,98.09,1.5,1.3,2.5,0,1,64.5
Peru,South America,2014,12.7,16.4,125.6385,5.51,88,44,26.4,78,88,0.12,6109,30.09,1.1,1.1,9.4,0,1,75.5
Angola,Africa,2014,60.5,92.9,246.0945,8.1,64,64,23.2,55,64,0.97,3207,26.94,8.5,8.3,4.9,0,1,58.8
Algeria,Africa,2014,21.9,25.5,97.277,0.54,95,99,25.4,95,95,0.04,4112,38.92,6,5.8,7.9,0,1,75.9
Azerbaijan,Asia,2014,24.9,28.2,127.294,0.36,94,98,26.8,97,94,0.05,5506,9.54,2.8,2.9,10.7,0,1,72
Ghana,Africa,2014,40.2,57.1,248.088,1.83,98,67,23.8,94,98,0.84,1777,27.22,6.4,6.3,6.9,0,1,62.4
Oman,Middle East,2014,9.7,11.2,90.9325,0.42,99,99,26.2,99,99,0.05,18611,4.03,7.1,6.9,9.3,0,1,76.6
Malaysia,Asia,2014,6.8,8,123.1955,0.54,96,99,25.5,97,97,0.15,9601,29.87,7.6,7.4,10.1,0,1,75.3
Guinea,Africa,2014,69.5,109.2,269.2475,0.32,51,64,22.8,42,51,0.75,760,11.15,7.5,7.4,2.6,0,1,59
Spain,European Union,2014,2.8,3.4,57.9985,7.85,96,93,26,97,97,0.09,24772,46.48,0.6,0.5,9.7,1,0,83.2
Bolivia,South America,2014,26.6,33,187.265,3.17,98,83,26.3,99,98,0.16,2939,10.71,1.2,1.1,8.5,0,1,69.9
Somalia,Africa,2014,85.9,138.4,312.486,0,42,64,23.1,47,42,0.13,346,13.42,6.7,6.5,2.1,0,1,55.5
Vanuatu,Oceania,2014,24.1,28.8,133.54,1.39,64,65,26.1,80,64,0.17,2759,0.26,1.5,1.4,6.8,0,1,69.7
"Micronesia, Fed. Sts.",Oceania,2014,24.9,29.9,166.2535,1.51,81,65,29.6,76,77,0.17,2815,0.11,0.2,0.2,8,0,1,67.2
Sri Lanka,Asia,2014,7.9,9.3,111.2825,2.45,99,99,22.9,99,99,0.01,3694,20.78,15.2,15,10.9,0,1,76.1
Iraq,Middle East,2014,25.5,30.7,164.663,0.15,62,67,28.5,76,64,0.13,4628,34.41,5.3,5.1,6.6,0,1,69.7
Uzbekistan,Asia,2014,18.6,20.8,143.1235,2.5,99,99,26.6,99,99,0.14,2614,30.76,3,3.1,11.3,0,1,70.7
Indonesia,Asia,2014,24.1,28.8,177.417,0.09,78,28,22.9,90,78,0.17,3217,255.13,1.4,1.2,7.8,0,1,70.5
Kenya,Africa,2014,36.4,50.6,228.7625,1.45,92,28,23.2,93,92,1.36,1430,46.7,7.8,7.7,6.3,0,1,64.1
Panama,Central America and Caribbean,2014,15.1,17.6,116.233,6.3,80,90,26.8,80,80,0.4,13113,3.9,1.9,1.8,9.9,0,1,77.6
Ireland,European Union,2014,3.3,3.8,62.447,10.88,95,86,27.3,96,96,0.07,50010,4.66,0.3,0.2,12.3,1,0,81.3
Rwanda,Africa,2014,35.7,49.7,209.3335,6.5,98,87,21.9,98,98,0.66,708,11.08,5.8,5.8,4,0,1,66.9
Vietnam,Asia,2014,17.6,22,125.984,2.78,95,65,21.6,96,95,0.12,2438,91.71,14.3,14.7,7.8,0,1,75.1
Trinidad and Tobago,Central America and Caribbean,2014,17.8,19.9,169.9695,5.9,92,93,27.4,94,92,0.4,18167,1.36,5.8,6,10.8,0,1,72.8
"Venezuela, RB",South America,2014,15.4,18,143.0785,6.6,78,83,26.6,79,78,0.4,16056,30.04,1.6,1.5,10,0,1,72.8
Bulgaria,European Union,2014,7.3,8.7,139.2615,10.3,95,89,26.3,88,88,0.03,6797,7.22,1.9,1.9,10.9,1,0,74.5
Uganda,Africa,2014,40.6,58.8,316.5765,7.25,78,64,22.3,78,78,2.26,834,36.91,5.7,5.6,5.5,0,1,60.7
Slovenia,European Union,2014,2.2,2.7,69.2825,10.92,88,94,26.4,95,95,0.01,20454,2.06,1.4,1.4,11.9,1,0,81.1
Liberia,Africa,2014,66,92.1,246.675,3.02,63,64,24,62,50,3.5,740,4.36,6.7,6.5,4.4,0,1,61.7
Seychelles,Africa,2014,12.6,14.7,152.1215,8.44,99,98,26.6,99,99,3.5,14672,0.09,5.7,6,9.4,0,1,73.2
Equatorial Guinea,Africa,2014,69.9,96.8,327.5505,8.64,53,64,23.9,55,20,4.04,12927,1.12,8.5,8.4,5.5,0,1,57
"Egypt, Arab Rep.",Africa,2014,20.5,24.3,151.4815,0.19,94,64,29.3,94,94,0.13,3490,90.42,2.8,2.8,7,0,1,71.1
El Salvador,Central America and Caribbean,2014,13.8,16.1,184.7965,2.45,93,85,27.5,93,94,0.19,3636,6.3,1.6,1.6,6.5,0,1,72.2
Latvia,European Union,2014,4.6,5.5,165.1905,10.6,92,89,26.5,92,92,0.28,13163,1.99,2.2,2.2,12.9,1,0,74.1
Timor-Leste,Oceania,2014,44.3,52.1,152.246,0.41,77,64,21.1,76,77,0.1,1321,1.17,1.9,11.1,4.5,0,1,68.2
Syrian Arab Republic,Middle East,2014,27.7,47,181.864,0.19,47,49,28.1,52,43,0.13,973,18.71,6.3,6.1,5.6,0,1,69.8
Sweden,European Union,2014,2.4,2.9,54.481,7.2,67,95,26,97,98,0.08,49855,9.7,1.5,1.3,12.3,1,0,82.3
Jordan,Middle East,2014,15.4,17.9,111.057,0.35,98,98,28.8,98,98,0.13,4221,8.92,3.9,3.9,10.1,0,1,74
Cuba,Central America and Caribbean,2014,4.6,5.8,90.569,4.54,97,98,25.5,99,99,0.16,7379,11.31,3.4,3.3,11.2,0,1,78.5
Malta,European Union,2014,5.8,6.6,52.6155,7.14,90,94,27.1,99,99,0.08,23286,0.43,0.8,0.8,11.1,1,0,82
Georgia,Rest of Europe,2014,9.7,10.9,158.8825,6.49,91,87,27.3,91,91,0.14,3903,3.72,2.7,2.8,12.6,0,1,72.7
Bhutan,Asia,2014,28.5,34.6,212.0515,0.21,99,92,23.7,98,99,0.13,2613,0.72,15.7,16.2,3.1,0,1,70
Guinea-Bissau,Africa,2014,62.1,95.7,274.1415,3.07,87,64,23.3,84,87,1.59,584,1.69,7.3,7.1,2.9,0,1,56.6
Poland,European Union,2014,4.3,5,113.623,10.45,96,95,26.5,94,98,0.08,12059,38.01,1.9,2.1,11.3,1,0,77.6
Lithuania,European Union,2014,4,4.9,167.375,14.9,94,92,26.4,93,93,0.09,13850,2.93,2.6,2.7,13,1,0,74.5
New Zealand,Oceania,2014,4.7,5.7,68,8.98,93,86,27.9,93,93,0.03,38002,4.52,0.4,0.3,12.2,1,0,81.4
Netherlands,European Union,2014,3.5,4.1,58.8975,8.38,92,93,25.5,96,96,0.04,44522,16.87,1,0.9,12.1,1,0,81.7
Tajikistan,Asia,2014,33.4,38.4,135.904,0.83,97,98,25.8,94,97,0.11,945,8.25,3.6,3.7,10.6,0,1,69.9
Grenada,Central America and Caribbean,2014,14,16,142.566,7.88,97,92,26.8,81,97,0.4,8601,0.11,3.8,3.8,8.6,0,1,72.5
Madagascar,Africa,2014,42.3,60.8,223.12,0.87,73,64,21.2,71,73,0.22,465,23.59,7.2,7.1,6.1,0,1,65.1
Australia,Oceania,2014,3.4,4,60.8255,9.9,91,93,27.1,92,92,0.04,56306,23.48,0.6,0.6,12.7,1,0,82.3
Mexico,North America,2014,14.4,16.8,112.2355,3.94,84,95,27.8,87,87,0.16,9426,120.36,1.6,1.5,8.4,0,1,74.9
Bahrain,Middle East,2014,6.6,7.7,67.602,1.57,98,99,24.9,98,98,0.05,22677,1.34,6.1,6,9.1,0,1,76.6
Bosnia and Herzegovina,Rest of Europe,2014,5.5,6.4,97.4955,4.69,89,92,25.6,86,86,0.08,4518,3.48,2.4,2.4,9.2,0,1,76.7
Djibouti,Africa,2014,56.2,68,253.97,0.32,78,82,24,78,78,0.25,2509,0.9,5.6,5.4,4.1,0,1,63.2
"Congo, Dem. Rep.",Africa,2014,75,99.2,264.131,4.52,80,64,21.9,79,80,0.37,481,73.77,9.7,9.5,6.2,0,1,58.8
Cote d'Ivoire,Africa,2014,67.3,93.6,402.0515,1.35,76,64,23.7,76,76,0.73,1887,22.65,5.6,5.6,4.4,0,1,55.5
Ecuador,South America,2014,13.7,15.9,125.742,3.81,83,59,27,84,83,0.16,6218,15.95,1.2,1.1,8.5,0,1,75.9
Fiji,Oceania,2014,20.3,23.9,187.7,2.67,99,94,27.5,99,99,0.11,5172,0.87,4,3.7,10.5,0,1,67
Kiribati,Oceania,2014,45.8,59.2,200.5185,0.33,75,80,29.9,79,75,0.17,1417,0.11,0.1,0.1,7.9,0,1,67
Japan,Asia,2014,2.1,2.8,55.582,8.4,83,94,22.7,99,96,0.17,34387,127.28,2,1.7,12.5,1,0,83.6